Item,Factor1 Loading,Factor2 Loading,Factor3 Loading,Factor4 Loading,Communalities,Uniqueness,descriptive_name
COMPANY CODE,-0.09243060523254118,0.12645309153817055,0.08754106142977011,0.06637910647259697,0.036603424355565954,0.963396575644434,
INDUSTRY,0.14317136722099824,-0.19065473186745716,-0.0152824840369572,0.1377426668116456,0.07605386375410578,0.9239461362458943,
ENVRTX21,0.48878763595453384,0.19425819054486262,0.0129485607791357,-0.16386048052334215,0.3036675199593776,0.6963324800406224,Environmentally Preferable Packaging
ENVRTX37,-0.11727585993765972,0.7031286901697043,-0.05617008130217839,-0.02601859600801147,0.511975627635603,0.488024372364397,Third Party Monitoring of Supplier Working Conditions
ENVRTX02,0.4818005137931058,0.22996805608260526,-0.04389767171282596,0.0675043825440362,0.2915008891541716,0.7084991108458284,Water Efficiency
ENVRTX22,0.4821928296345316,0.2014561428247563,-0.07764895610709839,0.08006556481731622,0.28553435748682293,0.714465642513177,Substituting Environmentally Preferable Direct Materials
ENVRTX39,0.46452066267791425,0.3054836839451234,0.021132129455495564,-0.031886747823454645,0.31056305879349305,0.6894369412065069,Environmental Design Specifications to Suppliers
ENVRTX23,0.7759637976622772,-0.17511139046102867,0.08767998384354458,-0.09227178823945001,0.6489856768233684,0.3510143231766316,Environmental Improvements for Scrap/Excess Material Disposition
ENVRTX18,0.3571405448235008,0.4768803427715111,0.09265711686645797,-0.14325112352984876,0.3840704557772694,0.6159295442227306,Customer Environmental Objectives Assistance
ENVRTX13,0.42382839590142846,0.27869745058161194,0.08855997646583684,-0.20574030487484363,0.3074747206146912,0.6925252793853087,Customer Supplier Code Compliance
ENVRTX33,0.014492801817399259,0.7217135857824887,-0.15269902744780714,0.05180817635165857,0.5470816213279267,0.4529183786720733,Formal M/WBE Supplier Purchase Program
ENVRTX03,0.5547961345178235,0.08268261423992226,0.15960628162884,0.0013614614093465744,0.34011118428602044,0.6598888157139795,Reducing Waste in Internal Processes
ENVRTX20,0.5019830477111875,0.3748777368607128,-0.08241331464997517,-0.04172148846422747,0.4010529348144886,0.5989470651855113,Life-cycle Analysis
ENVRTX38,0.5272042639792384,0.3875708228266806,-0.1131663627627103,-0.03305691634500935,0.44205486404362304,0.557945135956377,Environmental Considerations in Supplier Evaluation/Selection
ENVRTX08,0.8514055136103014,-0.08515363011113693,-0.03296294883871988,-0.11925131364822891,0.7474499211300978,0.2525500788699022,Decreasing Environmental Accident Impact
ENVRTX05,0.8464179838108028,-0.09535948257517317,-0.0436925104001254,-0.04524987036627127,0.7294734204685785,0.27052657953142145,Pollution Prevention
ENVRTX30,0.24215167468276122,0.5841252216667826,-0.010219190260360587,-0.07289218257537661,0.4052574102691132,0.5947425897308868,Preference to Third Party Certified Materials
ENVRTX24,0.5960481153339328,0.2078469721426054,-0.07091057136413335,0.14814665765671725,0.4254494609280266,0.5745505390719734,Environmental Improvements for Equipment Disposition
