Bundle,Item description,Loading,SE,t-value,p-value,formatted_p_value,significance
Environmental Practices,ENVRTX01,0.9360789647353477,0.06955452560732817,13.458203568521267,0.0,0.00e+00,***
Environmental Practices,ENVRTX02,0.9648698928018644,0.06959451890276362,13.864164994803192,0.0,0.00e+00,***
Environmental Practices,ENVRTX03,0.8958098106584892,0.06302628190803371,14.213273947614923,0.0,0.00e+00,***
Environmental Practices,ENVRTX04,0.8827542961262997,0.0628512243395897,14.045140813116298,0.0,0.00e+00,***
Environmental Practices,ENVRTX05,0.926118942280967,0.06476061341798962,14.300651173629923,0.0,0.00e+00,***
Environmental Practices,ENVRTX06,0.9346167392462584,0.06995865420447314,13.35955858319669,0.0,0.00e+00,***
Environmental Practices,ENVRTX07,1.0655860689218108,0.08170648193905723,13.041634441152468,0.0,0.00e+00,***
Environmental Practices,ENVRTX08,0.9107647476306344,0.06460194356571272,14.098101347434072,0.0,0.00e+00,***
Environmental Practices,ENVRTX09,1.04166564564899,0.07677226345466988,13.568254976148262,0.0,0.00e+00,***
Environmental Practices,ENVRTX10,1.0284116597143005,0.07222226432059184,14.23953775734891,0.0,0.00e+00,***
Environmental Practices,ENVRTX11,1.0363527624535773,0.07357694731240395,14.085291661439507,0.0,0.00e+00,***
Environmental Practices,ENVRTX12,0.9645373749206406,0.0800976511588635,12.042018223575663,0.0,0.00e+00,***
Environmental Practices,ENVRTX13,0.9677374408595432,0.07382316510247469,13.10885871008398,0.0,0.00e+00,***
Environmental Practices,ENVRTX14,0.9619864309614986,0.06621094015869242,14.529116013997658,0.0,0.00e+00,***
Environmental Practices,ENVRTX15,0.9709016935166818,0.0677357887712541,14.33365892874515,0.0,0.00e+00,***
Environmental Practices,ENVRTX17,1.0440239098075035,0.07787912052877881,13.405697223066399,0.0,0.00e+00,***
Environmental Practices,ENVRTX18,1.0369175947305598,0.07330171298210961,14.145884898810417,0.0,0.00e+00,***
Environmental Practices,ENVRTX20,1.0622952387737863,0.07462843485554954,14.234456890727511,0.0,0.00e+00,***
Environmental Practices,ENVRTX21,0.8994767414903998,0.06634905176511718,13.556738454599845,0.0,0.00e+00,***
Environmental Practices,ENVRTX22,0.9193091931510672,0.0680675343741617,13.505839481384758,0.0,0.00e+00,***
Environmental Practices,ENVRTX23,0.8878654636048628,0.06524151529471955,13.608903159193238,0.0,0.00e+00,***
Environmental Practices,ENVRTX24,0.9922589811832044,0.06483326100083235,15.304782851667225,0.0,0.00e+00,***
Environmental Practices,ENVRTX29,1.0785659534223142,0.0699301690886274,15.423471263960082,0.0,0.00e+00,***
Environmental Practices,ENVRTX30,1.006155511502385,0.07337193496597905,13.71308405548957,0.0,0.00e+00,***
Environmental Practices,ENVRTX31,1.0644773122957525,0.07985899613356554,13.329460221555953,0.0,0.00e+00,***
Environmental Practices,ENVRTX32,0.9965968294182764,0.07246995187480117,13.751862718771962,0.0,0.00e+00,***
Environmental Practices,ENVRTX33,0.9991241701248993,0.07716452647793735,12.947972542934814,0.0,0.00e+00,***
Environmental Practices,ENVRTX34,1.030112560639013,0.07744821759269577,13.300661947527686,0.0,0.00e+00,***
Environmental Practices,ENVRTX35,1.0521222799724979,0.08365133961454208,12.577470783140875,0.0,0.00e+00,***
