Bundle,Item description,Loading,SE,t-value,p-value,formatted_p_value,significance
JIT Practices,JITDELN01,0.42971029454930654,0.062100365153145064,6.919609787955392,4.5288217620509386e-12,4.53e-12,***
JIT Practices,JITDELN02,0.24511727390586385,0.06881534747153911,3.56195649534779,0.0003681013910517006,3.68e-04,***
JIT Practices,JITDELN03,0.41567835424782745,0.06853840610095216,6.064896718426207,1.3203846904730199e-09,1.32e-09,***
JIT Practices,KANBANN01,0.3195551048741381,0.06585412052654661,4.852469402356098,1.2193360083845306e-06,1.22e-06,***
JIT Practices,KANBANN02,0.45642094555464713,0.06967543781207002,6.550672085989826,5.7278626286461076e-11,5.73e-11,***
JIT Practices,KANBANN03,0.49254397793731164,0.06936995524284853,7.100249325706303,1.2452261444195756e-12,1.25e-12,***
JIT Practices,LAYOUTN01,0.5442066535942104,0.04506462767525146,12.076137797385535,0.0,0.00e+00,***
JIT Practices,LAYOUTN02,0.6382527500667933,0.0441595599054068,14.453331315664833,0.0,0.00e+00,***
JIT Practices,LAYOUTN03,0.7022424375413346,0.04683917726612677,14.992629643159498,0.0,0.00e+00,***
JIT Practices,LAYOUTN04,0.6349430731083687,0.05201255119159747,12.207497201385934,0.0,0.00e+00,***
