Bundle,Item description,Loading,SE,t-value
Environmental Practices,Environmentally Preferable Packaging,0.44606594747069356,0.05964908305666556,7.4781693969534935
Environmental Practices,Third Party Monitoring of Supplier Working Conditions,0.5457001032337061,0.0827395590249212,6.595395354588982
Environmental Practices,Water Efficiency,0.5130039904920157,0.06564680598258431,7.814607014210448
Environmental Practices,Substituting Environmentally Preferable Direct Materials,0.6786972629637855,0.0753718116166611,9.004656361659723
Lean JIT Practices,JIT Delivery by Suppliers - Timely Delivery,0.5109539171120897,0.07112386545989122,7.184000951132658
Lean JIT Practices,JIT Delivery by Suppliers - Daily Shipments,0.29127424783204503,0.07953757578022756,3.6620961221759236
Lean JIT Practices,JIT Delivery by Suppliers - Pull System,0.4388893021510792,0.07842367706911803,5.596387705262377
Lean JIT Practices,Kanban - Supplier Containers,0.6143076949542268,0.07329764991736926,8.38100124146893
Lean JIT Practices,Kanban - Production Control Pull System,1.0434099172152937,0.07062945378145685,14.77301410887071
Lean JIT Practices,Kanban - Production Control Signals,1.0952458216547736,0.06927712938306041,15.809630557853083
